,Year,Month,Incident Zip,Sanitation_related,Neighborhood_related,House_related,Pollution_related,Other_related
177,2015,1,11420,645,645,645,645,645
178,2015,1,11421,680,680,680,680,680
179,2015,1,11422,413,413,413,413,413
180,2015,1,11423,446,446,446,446,446
181,2015,1,11426,218,218,218,218,218
182,2015,1,11427,299,299,299,299,299
183,2015,1,11428,279,279,279,279,279
184,2015,1,11429,349,349,349,349,349
185,2015,1,11430,46,46,46,46,46
186,2015,1,11432,1046,1046,1046,1046,1046
187,2015,1,11433,746,746,746,746,746
188,2015,1,11434,970,970,970,970,970
189,2015,1,11435,784,784,784,784,784
190,2015,1,11436,216,216,216,216,216
191,2015,1,11691,1144,1144,1144,1144,1144
192,2015,1,11692,237,237,237,237,237
193,2015,1,11693,202,202,202,202,202
194,2015,1,11694,563,563,563,563,563
195,2015,1,11695,1,1,1,1,1
196,2015,1,11697,16,16,16,16,16
197,2015,1,83,2,2,2,2,2
198,2015,1,nan,23,23,23,23,23
199,2015,2,00083,1,1,1,1,1
200,2015,2,10000,1,1,1,1,1
201,2015,2,10001,719,719,719,719,719
202,2015,2,10002,1246,1246,1246,1246,1246
203,2015,2,10003,1065,1065,1065,1065,1065
204,2015,2,10004,128,128,128,128,128
205,2015,2,10005,101,101,101,101,101
206,2015,2,10006,88,88,88,88,88
207,2015,2,10007,188,188,188,188,188
208,2015,2,10009,1026,1026,1026,1026,1026
209,2015,2,10010,500,500,500,500,500
210,2015,2,10011,942,942,942,942,942
211,2015,2,10012,626,626,626,626,626
212,2015,2,10013,631,631,631,631,631
213,2015,2,10014,703,703,703,703,703
214,2015,2,10016,825,825,825,825,825
215,2015,2,10017,484,484,484,484,484
216,2015,2,10018,336,336,336,336,336
217,2015,2,10019,1001,1001,1001,1001,1001
218,2015,2,10020,12,12,12,12,12
219,2015,2,10021,644,644,644,644,644
220,2015,2,10022,644,644,644,644,644
221,2015,2,10023,695,695,695,695,695
222,2015,2,10024,807,807,807,807,807
223,2015,2,10025,1576,1576,1576,1576,1576
224,2015,2,10026,925,925,925,925,925
225,2015,2,10027,1622,1622,1622,1622,1622
226,2015,2,10028,644,644,644,644,644
227,2015,2,10029,1815,1815,1815,1815,1815
228,2015,2,10030,1097,1097,1097,1097,1097
229,2015,2,10031,1962,1962,1962,1962,1962
230,2015,2,10032,2295,2295,2295,2295,2295
231,2015,2,10033,1759,1759,1759,1759,1759
232,2015,2,10034,1443,1443,1443,1443,1443
233,2015,2,10035,936,936,936,936,936
234,2015,2,10036,1014,1014,1014,1014,1014
235,2015,2,10037,388,388,388,388,388
236,2015,2,10038,329,329,329,329,329
237,2015,2,10039,561,561,561,561,561
238,2015,2,10040,2008,2008,2008,2008,2008
239,2015,2,10041,2,2,2,2,2
240,2015,2,10044,31,31,31,31,31
241,2015,2,10048,1,1,1,1,1
242,2015,2,10065,578,578,578,578,578
243,2015,2,10069,19,19,19,19,19
244,2015,2,10075,294,294,294,294,294
245,2015,2,10103,1,1,1,1,1
246,2015,2,10105,1,1,1,1,1
247,2015,2,10107,1,1,1,1,1
248,2015,2,10112,1,1,1,1,1
