,Year,Month,BORO_NM,LAW_CAT_FELONY,LAW_CAT_MISDEMEANOR,LAW_CAT_VIOLATION
185,2017,11,QUEENS,2420,3754,1165
186,2017,11,STATEN ISLAND,393,953,335
187,2017,12,BRONX,2214,4452,1326
188,2017,12,BROOKLYN,3601,5708,1545
189,2017,12,MANHATTAN,2992,5212,1082
190,2017,12,QUEENS,2411,3754,1062
191,2017,12,STATEN ISLAND,410,913,343
192,2018,1,BRONX,2171,4762,1275
193,2018,1,BROOKLYN,3561,5814,1599
194,2018,1,MANHATTAN,3036,5298,1077
195,2018,1,QUEENS,2274,3601,1126
196,2018,1,STATEN ISLAND,388,929,340
197,2018,2,BRONX,2062,4487,1298
198,2018,2,BROOKLYN,3156,5435,1550
199,2018,2,MANHATTAN,2730,4997,1049
200,2018,2,QUEENS,2058,3504,1006
201,2018,2,STATEN ISLAND,366,856,328
202,2018,3,BRONX,2141,4825,1355
203,2018,3,BROOKLYN,3506,6040,1618
204,2018,3,MANHATTAN,2883,5221,1165
205,2018,3,QUEENS,2259,3728,1138
206,2018,3,STATEN ISLAND,397,890,354
207,2018,4,BRONX,2136,4814,1276
208,2018,4,BROOKLYN,3421,5917,1679
209,2018,4,MANHATTAN,2895,5470,1112
210,2018,4,QUEENS,2350,3836,1179
211,2018,4,STATEN ISLAND,350,1002,385
212,2018,5,(null),1,0,0
213,2018,5,BRONX,2472,5057,1467
214,2018,5,BROOKLYN,3937,6511,2015
215,2018,5,MANHATTAN,3159,5513,1361
216,2018,5,QUEENS,2569,4219,1424
217,2018,5,STATEN ISLAND,416,1068,450
218,2018,6,BRONX,2320,4911,1381
219,2018,6,BROOKLYN,3819,6169,1805
220,2018,6,MANHATTAN,3117,5390,1267
221,2018,6,QUEENS,2532,4065,1323
222,2018,6,STATEN ISLAND,382,981,411
223,2018,7,(null),1,0,0
224,2018,7,BRONX,2440,5199,1433
225,2018,7,BROOKLYN,4090,6431,1930
226,2018,7,MANHATTAN,3228,5593,1314
227,2018,7,QUEENS,2606,4275,1346
228,2018,7,STATEN ISLAND,408,1115,400
229,2018,8,BRONX,2470,5331,1365
230,2018,8,BROOKLYN,4117,6338,2042
231,2018,8,MANHATTAN,3189,5756,1276
232,2018,8,QUEENS,2726,4033,1321
233,2018,8,STATEN ISLAND,398,1054,392
234,2018,9,BRONX,2279,4896,1460
235,2018,9,BROOKLYN,3714,6055,1797
236,2018,9,MANHATTAN,3044,5164,1308
237,2018,9,QUEENS,2537,3948,1271
238,2018,9,STATEN ISLAND,400,908,415
239,2018,10,BRONX,2353,4595,1436
240,2018,10,BROOKLYN,3868,5934,1799
241,2018,10,MANHATTAN,3179,5476,1366
242,2018,10,QUEENS,2492,4021,1249
243,2018,10,STATEN ISLAND,446,947,388
244,2018,11,BRONX,2188,4211,1319
245,2018,11,BROOKLYN,3533,5611,1619
246,2018,11,MANHATTAN,2866,4907,1136
247,2018,11,QUEENS,2366,3757,1130
248,2018,11,STATEN ISLAND,427,862,341
249,2018,12,(null),1,1,0
250,2018,12,BRONX,2335,4314,1288
251,2018,12,BROOKLYN,3566,5324,1644
252,2018,12,MANHATTAN,3027,5050,1121
253,2018,12,QUEENS,2252,3844,1082
254,2018,12,STATEN ISLAND,459,867,341
255,2019,1,BRONX,2282,4482,1305
256,2019,1,BROOKLYN,3555,5582,1613
257,2019,1,MANHATTAN,2779,4998,1166
258,2019,1,QUEENS,2250,3679,1185
259,2019,1,STATEN ISLAND,387,853,302
